Device_1,Device_2,Device_3,Device_4,Device_5,Device_6,Device_7,Device_8,Device_9,Device_10
67.64,0.0,76.6,89.28,0.0,100.33,77.67,0.0,0.0,145.33
54.0,0.0,69.99,87.62,0.0,108.5,84.73,0.0,0.0,219.03
59.79,0.0,86.36,92.6,0.0,91.9,102.27,93.33,0.0,136.0
0.0,0.0,78.56,83.38,0.0,97.02,131.36,125.54,0.0,103.0
68.68,0.0,19.92,96.34,0.0,89.41,126.37,110.6,0.0,72.6
40.23,0.0,72.41,77.5,0.0,95.68,147.81,139.77,0.0,210.23
59.5,0.0,86.16,58.42,0.0,101.98,69.08,113.78,0.0,107.56
0.0,0.0,82.04,60.65,0.0,96.87,119.76,98.51,0.0,184.45
48.97,0.0,52.7,57.74,0.0,89.97,119.31,123.52,0.0,175.98
0.0,0.0,66.93,80.76,0.0,91.33,89.47,84.48,0.0,156.76
51.44,0.0,65.19,40.51,0.0,101.74,84.07,117.6,0.0,133.22
64.54,0.0,68.78,32.98,0.0,98.09,69.45,154.09,0.0,73.71
57.61,0.0,80.66,91.79,0.0,110.16,68.87,84.66,0.0,232.23
51.22,0.0,85.29,97.52,0.0,109.94,135.33,74.75,0.0,117.7
54.44,0.0,52.88,69.5,0.0,101.34,130.74,0.0,0.0,191.46
0.0,0.0,36.35,64.45,0.0,92.76,145.16,0.0,0.0,114.38
64.94,0.0,83.06,78.66,0.0,101.75,19.83,129.28,0.0,76.72
47.95,0.0,88.61,97.04,0.0,95.68,115.04,101.45,0.0,168.9
53.13,0.0,78.1,47.51,0.0,97.49,113.25,0.0,0.0,58.02
41.46,0.0,74.08,99.1,0.0,110.37,106.22,133.08,0.0,84.76
24.47,0.0,53.54,82.83,0.0,98.06,66.85,120.41,0.0,93.31
56.54,0.0,44.46,88.69,0.0,97.84,96.86,89.03,0.0,215.24
58.64,0.0,65.47,102.35,0.0,97.97,128.27,110.05,0.0,157.39
42.58,0.0,49.68,81.89,0.0,105.04,119.97,129.75,0.0,107.31
72.7,0.0,56.85,121.64,0.0,96.52,113.13,162.64,0.0,162.66
35.46,0.0,75.88,91.63,0.0,102.59,112.53,89.25,0.0,134.37
50.46,0.0,82.4,97.77,0.0,95.43,86.6,96.81,0.0,142.53
48.13,0.0,85.59,26.62,0.0,92.8,77.86,111.23,0.0,137.59
65.33,0.0,79.1,103.18,0.0,96.07,92.16,61.96,0.0,199.05
64.69,0.0,43.93,114.99,0.0,109.43,108.91,118.46,0.0,155.01
51.55,0.0,58.71,43.17,0.0,91.05,128.76,144.94,0.0,161.72
53.78,0.0,56.06,88.33,0.0,95.92,136.22,50.92,0.0,219.67
41.12,0.0,90.76,112.3,0.0,98.12,135.25,102.95,0.0,147.16
30.19,0.0,101.2,77.66,0.0,98.95,106.09,114.48,0.0,208.7
46.52,0.0,40.8,43.06,0.0,96.07,58.48,89.82,0.0,197.53
51.56,0.0,31.21,24.54,0.0,94.87,136.93,125.22,0.0,108.56
62.3,0.0,80.53,54.61,0.0,101.84,131.47,81.47,0.0,188.39
62.02,0.0,103.21,79.57,0.0,96.23,133.14,95.04,0.0,159.66
46.13,0.0,62.72,91.08,0.0,105.61,71.09,223.45,0.0,117.9
46.98,0.0,69.38,78.33,0.0,105.14,118.1,177.53,0.0,82.56
39.51,0.0,62.73,132.39,0.0,100.57,130.88,143.65,0.0,70.36
35.8,0.0,94.84,47.77,0.0,101.53,87.23,155.35,0.0,144.95
32.94,0.0,36.63,71.72,0.0,95.61,104.63,122.27,0.0,160.47
69.51,0.0,82.26,83.77,0.0,105.83,66.54,132.6,0.0,158.81
44.9,0.0,70.87,54.46,0.0,100.64,108.25,65.98,0.0,298.17
45.62,0.0,72.33,95.13,0.0,98.82,208.65,129.13,0.0,202.07
37.47,0.0,58.43,71.93,0.0,103.03,79.43,147.36,0.0,195.22
0.0,0.0,44.71,64.02,0.0,98.63,102.21,52.09,0.0,105.01
33.86,0.0,67.65,61.61,0.0,105.73,146.17,169.79,0.0,146.25
47.87,0.0,60.3,94.87,0.0,99.58,82.43,44.68,0.0,95.66
41.05,0.0,90.46,81.29,0.0,99.5,170.23,139.66,0.0,42.85
53.87,0.0,72.97,71.28,0.0,97.85,89.14,89.31,0.0,206.42
44.89,0.0,69.41,87.5,0.0,95.32,127.31,110.52,0.0,187.16
38.19,0.0,87.52,20.21,0.0,103.98,142.4,204.69,0.0,129.52
0.0,0.0,72.7,128.47,0.0,99.79,120.09,0.0,0.0,159.19
54.28,0.0,71.68,114.16,0.0,90.49,82.87,120.58,0.0,214.28
50.67,0.0,87.86,73.11,0.0,106.7,90.88,58.75,0.0,112.07
0.0,0.0,67.23,70.56,0.0,98.67,72.78,132.92,0.0,81.42
43.66,0.0,64.97,80.72,0.0,99.3,127.57,137.61,0.0,180.13
46.37,0.0,80.98,90.68,0.0,99.43,91.5,114.17,0.0,57.27
43.28,0.0,103.11,43.24,0.0,98.68,77.76,49.8,0.0,214.16
